tag,tagcount,votescount,tagweight,price,userscore,owners,playtime
Mystery Dungeon,7,97,14,1.99,0.75,430000,2.55
Word Game,6,123,21,5.74,0.87,860000,7.01
Gambling,6,212,35,0,0.77,5190000,2.34
Lemmings,6,123,21,1.24,0.81,1300000,4.08
Bowling,6,1917,320,2.99,0.86,3460000,4.04
Basketball,6,567,95,4.99,0.72,3670000,3.22
Movie,6,400,67,2.99,0.94,4110000,0.03
Voice Control,5,107,21,4.19,0.77,860000,1.07
Gaming,5,85,17,0,0.92,4760000,0.01
Documentary,5,380,76,0,0.92,4760000,0.01
Pool,4,82,21,1.49,0.75,4970000,0.58
Faith,4,292,73,6.34,0.98,1510000,5.42
Conversation,4,64,16,4.74,0.88,6270000,5.31
Investigation,3,294,98,9.99,0.73,5620000,2.14
Steam Machine,3,45,15,1.99,0.85,430000,0.00
360 Video,3,79,26,0,0.68,650000,0.06
Bikes,3,105,35,11.99,0.86,430000,0.11
Tutorial,3,64,21,0,0.8,860000,0.00
Intentionally Awkward Controls,2,328,164,2.11,0.64,8210000,2.23
Cycling,2,47,24,10.04,0.8,430000,0.11
Underground,2,77,39,8.24,0.73,0,0.00
Spelling,1,13,13,0.79,0.68,860000,4.10
Hardware,1,15,15,7.49,0.87,0,0.00
